date;SDLP;uk weather;Climate science scepticism and denial;Digestive disorders;air travel;isPartial
2023-01-01;0;77;0;0;3;False
2023-01-02;0;76;0;0;4;False
2023-01-03;1;75;0;0;3;False
2023-01-04;0;64;0;0;4;False
2023-01-05;0;59;0;0;3;False
2023-01-06;0;58;0;0;3;False
2023-01-07;0;69;0;0;2;False
2023-01-08;0;79;0;0;4;False
2023-01-09;0;60;0;0;2;False
2023-01-10;1;74;0;0;4;False
2023-01-11;1;67;0;0;4;False
2023-01-12;0;81;0;0;3;False
2023-01-13;0;74;0;0;3;False
2023-01-14;0;89;0;0;2;False
2023-01-15;0;100;0;0;3;False
2023-01-16;0;97;0;0;3;False
2023-01-17;0;98;0;0;2;False
2023-01-18;0;82;0;0;4;False
2023-01-19;0;77;0;0;3;False
2023-01-20;0;63;0;0;3;False
2023-01-21;0;76;0;0;3;False
2023-01-22;0;79;0;1;3;False
2023-01-23;0;71;0;0;3;False
2023-01-24;0;63;0;0;2;False
2023-01-25;0;64;0;0;3;False
2023-01-26;0;55;0;0;3;False
2023-01-27;0;50;0;0;2;False
2023-01-28;0;50;0;0;3;False
2023-01-29;0;60;0;0;3;False
2023-01-30;0;56;0;0;4;False
2023-01-31;0;56;0;0;4;False
