date;Libraries;Devolution;Cirque du Soleil;dementia;air travel;isPartial
2023-01-01;11;0;16;53;8;False
2023-01-02;16;0;8;57;10;False
2023-01-03;21;2;9;61;6;False
2023-01-04;19;2;6;67;10;False
2023-01-05;17;2;7;62;8;False
2023-01-06;17;1;7;58;8;False
2023-01-07;16;1;7;58;6;False
2023-01-08;11;2;7;63;9;False
2023-01-09;18;4;6;69;5;False
2023-01-10;21;3;9;60;9;False
2023-01-11;14;2;8;72;10;False
2023-01-12;16;3;11;71;8;False
2023-01-13;12;2;14;67;6;False
2023-01-14;16;1;16;79;6;False
2023-01-15;11;3;16;75;7;False
2023-01-16;16;2;10;73;7;False
2023-01-17;13;3;20;70;6;False
2023-01-18;14;4;12;100;9;False
2023-01-19;18;2;17;98;8;False
2023-01-20;15;2;15;75;6;False
2023-01-21;16;2;16;57;7;False
2023-01-22;13;1;13;58;8;False
2023-01-23;20;3;11;73;8;False
2023-01-24;20;1;12;74;6;False
2023-01-25;18;3;8;75;8;False
2023-01-26;14;1;11;70;7;False
2023-01-27;18;2;14;64;5;False
2023-01-28;13;0;13;59;7;False
2023-01-29;12;2;12;60;7;False
2023-01-30;16;4;10;68;11;False
2023-01-31;16;2;15;78;9;False
