date;Yemen;Sampdoria;Experimental music;Haiti;air travel;isPartial
2023-01-01;25;10;0;16;31;False
2023-01-02;19;0;0;22;37;False
2023-01-03;23;5;0;20;24;False
2023-01-04;29;26;0;21;36;False
2023-01-05;22;4;0;21;30;False
2023-01-06;52;54;2;13;30;False
2023-01-07;25;19;0;19;22;False
2023-01-08;23;100;0;16;34;False
2023-01-09;27;14;0;20;20;False
2023-01-10;14;5;3;18;32;False
2023-01-11;18;4;3;17;36;False
2023-01-12;42;39;0;25;30;False
2023-01-13;21;6;0;12;24;False
2023-01-14;35;5;0;25;23;False
2023-01-15;19;0;0;33;27;False
2023-01-16;35;54;4;20;28;False
2023-01-17;18;7;4;30;23;False
2023-01-18;25;3;0;29;33;False
2023-01-19;24;6;0;22;30;False
2023-01-20;15;6;0;28;24;False
2023-01-21;27;12;0;39;26;False
2023-01-22;26;33;0;24;28;False
2023-01-23;22;0;0;24;29;False
2023-01-24;30;0;0;26;22;False
2023-01-25;19;2;0;22;31;False
2023-01-26;24;4;2;23;28;False
2023-01-27;22;0;0;25;19;False
2023-01-28;27;28;0;15;27;False
2023-01-29;28;11;0;26;24;False
2023-01-30;21;2;0;30;41;False
2023-01-31;29;5;3;43;34;False
