date;Claude Monet;Disney+;Joko Widodo;Statues;air travel;isPartial
2023-01-01;0;100;0;2;2;False
2023-01-02;0;91;0;2;2;False
2023-01-03;1;67;0;2;1;False
2023-01-04;1;63;0;1;2;False
2023-01-05;0;61;0;2;1;False
2023-01-06;1;66;0;2;2;False
2023-01-07;0;79;0;2;1;False
2023-01-08;0;96;0;2;2;False
2023-01-09;0;56;0;1;1;False
2023-01-10;0;61;0;1;2;False
2023-01-11;0;59;0;2;2;False
2023-01-12;0;62;0;1;2;False
2023-01-13;0;64;0;1;1;False
2023-01-14;0;90;0;2;1;False
2023-01-15;0;83;0;2;1;False
2023-01-16;0;55;0;1;1;False
2023-01-17;0;53;0;1;1;False
2023-01-18;1;55;0;1;2;False
2023-01-19;0;54;0;2;1;False
2023-01-20;0;60;0;2;1;False
2023-01-21;0;80;0;2;1;False
2023-01-22;0;79;0;2;1;False
2023-01-23;0;60;0;2;1;False
2023-01-24;0;57;0;2;1;False
2023-01-25;0;59;0;2;2;False
2023-01-26;0;58;0;1;1;False
2023-01-27;0;61;0;2;1;False
2023-01-28;0;77;0;2;1;False
2023-01-29;0;81;0;2;1;False
2023-01-30;0;57;0;2;2;False
2023-01-31;0;58;0;2;2;False
