date;John Gielgud;Red Bull Salzburg;tom cruise;abortion;air travel;isPartial
2023-01-01;2;4;100;42;13;False
2023-01-02;1;0;87;37;15;False
2023-01-03;0;0;50;51;10;False
2023-01-04;0;0;42;55;15;False
2023-01-05;0;0;39;47;12;False
2023-01-06;2;3;63;45;12;False
2023-01-07;0;1;66;39;9;False
2023-01-08;0;0;53;47;14;False
2023-01-09;2;0;29;45;8;False
2023-01-10;1;1;32;54;13;False
2023-01-11;0;0;40;48;15;False
2023-01-12;0;2;33;51;12;False
2023-01-13;0;2;32;42;10;False
2023-01-14;0;0;71;43;9;False
2023-01-15;2;1;48;40;11;False
2023-01-16;0;0;35;44;11;False
2023-01-17;0;0;25;39;9;False
2023-01-18;0;0;22;46;13;False
2023-01-19;0;0;32;54;12;False
2023-01-20;0;0;43;45;10;False
2023-01-21;1;0;84;36;10;False
2023-01-22;0;1;50;45;12;False
2023-01-23;1;1;30;52;12;False
2023-01-24;1;1;33;53;9;False
2023-01-25;0;0;37;51;12;False
2023-01-26;0;0;36;49;11;False
2023-01-27;1;3;37;38;8;False
2023-01-28;0;0;69;39;11;False
2023-01-29;1;0;50;42;10;False
2023-01-30;2;2;30;46;16;False
2023-01-31;0;0;29;46;14;False
