date;Team GB;Michigan;San Francisco;Nottinghamshire;air travel;isPartial
2023-01-01;7;73;75;33;19;False
2023-01-02;8;27;69;40;23;False
2023-01-03;6;26;70;35;15;False
2023-01-04;6;24;78;59;23;False
2023-01-05;5;22;90;55;19;False
2023-01-06;7;37;81;42;19;False
2023-01-07;4;27;67;39;14;False
2023-01-08;4;26;81;35;21;False
2023-01-09;6;23;79;44;13;False
2023-01-10;4;20;84;48;20;False
2023-01-11;7;27;82;42;23;False
2023-01-12;4;29;82;41;19;False
2023-01-13;7;20;70;33;15;False
2023-01-14;3;20;92;35;14;False
2023-01-15;8;28;96;37;17;False
2023-01-16;4;26;86;44;17;False
2023-01-17;2;29;70;45;14;False
2023-01-18;3;28;69;40;20;False
2023-01-19;6;22;77;44;19;False
2023-01-20;5;26;64;40;15;False
2023-01-21;6;19;83;32;16;False
2023-01-22;9;30;100;31;18;False
2023-01-23;3;30;90;52;18;False
2023-01-24;2;27;81;41;14;False
2023-01-25;4;31;73;44;19;False
2023-01-26;6;27;61;41;17;False
2023-01-27;2;19;64;39;12;False
2023-01-28;0;22;70;29;17;False
2023-01-29;3;27;99;40;15;False
2023-01-30;4;25;72;38;25;False
2023-01-31;3;34;73;49;21;False
