date;snp;Conferences;New Year honours list;The White Lotus;air travel;isPartial
2023-01-01;16;5;23;71;19;False
2023-01-02;16;10;3;74;23;False
2023-01-03;32;17;10;55;15;False
2023-01-04;17;14;3;40;22;False
2023-01-05;28;13;0;40;18;False
2023-01-06;11;11;0;49;19;False
2023-01-07;8;8;1;47;13;False
2023-01-08;20;4;0;67;21;False
2023-01-09;21;16;0;33;13;False
2023-01-10;17;16;0;34;20;False
2023-01-11;22;17;2;100;23;False
2023-01-12;20;18;3;60;19;False
2023-01-13;17;11;0;64;15;False
2023-01-14;15;5;3;61;14;False
2023-01-15;19;6;0;67;17;False
2023-01-16;24;14;0;50;17;False
2023-01-17;32;12;0;48;14;False
2023-01-18;23;12;0;39;20;False
2023-01-19;22;18;2;37;18;False
2023-01-20;22;18;0;49;15;False
2023-01-21;17;7;0;47;16;False
2023-01-22;16;9;1;61;18;False
2023-01-23;32;16;0;47;18;False
2023-01-24;27;13;3;37;14;False
2023-01-25;26;17;0;31;19;False
2023-01-26;17;8;2;27;17;False
2023-01-27;19;10;2;32;12;False
2023-01-28;17;3;0;32;17;False
2023-01-29;18;7;0;40;15;False
2023-01-30;18;14;0;38;25;False
2023-01-31;19;17;0;34;21;False
