date;Foyles;nigeria;Planned Parenthood;Newport;air travel;isPartial
2023-01-01;4;36;0;84;6;False
2023-01-02;3;40;0;100;7;False
2023-01-03;2;40;1;82;4;False
2023-01-04;3;42;0;92;7;False
2023-01-05;3;43;0;80;6;False
2023-01-06;1;45;0;95;6;False
2023-01-07;1;39;0;93;4;False
2023-01-08;3;38;0;81;6;False
2023-01-09;2;42;0;80;4;False
2023-01-10;3;48;0;83;6;False
2023-01-11;2;41;0;79;7;False
2023-01-12;1;41;0;87;6;False
2023-01-13;2;39;0;85;5;False
2023-01-14;1;40;0;95;4;False
2023-01-15;2;38;0;72;5;False
2023-01-16;3;48;0;90;5;False
2023-01-17;1;44;0;94;4;False
2023-01-18;2;44;0;85;6;False
2023-01-19;2;45;1;85;6;False
2023-01-20;1;42;0;85;5;False
2023-01-21;2;43;0;92;5;False
2023-01-22;2;37;0;70;5;False
2023-01-23;2;49;0;81;5;False
2023-01-24;3;46;1;77;4;False
2023-01-25;1;44;1;81;6;False
2023-01-26;1;54;0;72;5;False
2023-01-27;1;48;0;84;4;False
2023-01-28;0;37;0;84;5;False
2023-01-29;2;44;0;80;5;False
2023-01-30;2;51;0;85;8;False
2023-01-31;3;45;1;85;6;False
