date;Avatar;westminster accounts;Real estate;Thailand;air travel;isPartial
2023-01-01;100;0;5;24;2;False
2023-01-02;92;0;6;26;2;False
2023-01-03;68;0;7;24;1;False
2023-01-04;57;0;8;23;2;False
2023-01-05;53;0;8;25;2;False
2023-01-06;61;0;8;24;2;False
2023-01-07;74;0;6;29;1;False
2023-01-08;69;5;6;33;2;False
2023-01-09;49;5;8;27;1;False
2023-01-10;41;2;9;23;2;False
2023-01-11;39;1;7;21;2;False
2023-01-12;39;0;8;22;2;False
2023-01-13;43;0;7;21;1;False
2023-01-14;57;0;7;23;1;False
2023-01-15;55;0;7;25;2;False
2023-01-16;35;0;9;22;2;False
2023-01-17;28;0;8;21;1;False
2023-01-18;30;0;8;20;2;False
2023-01-19;27;0;7;19;2;False
2023-01-20;34;0;7;22;1;False
2023-01-21;50;0;7;22;1;False
2023-01-22;49;0;6;25;2;False
2023-01-23;27;0;8;22;2;False
2023-01-24;30;0;8;18;1;False
2023-01-25;25;1;9;20;2;False
2023-01-26;23;0;8;18;2;False
2023-01-27;27;0;7;18;1;False
2023-01-28;39;0;6;19;2;False
2023-01-29;38;0;7;23;1;False
2023-01-30;23;0;8;20;2;False
2023-01-31;21;0;8;18;2;False
