date;Social work;Water bills;House of Lords;Aerospace industry;air travel;isPartial
2023-01-01;31;0;4;0;24;False
2023-01-02;56;2;14;0;29;False
2023-01-03;70;6;10;0;19;False
2023-01-04;93;5;11;0;28;False
2023-01-05;75;6;4;0;23;False
2023-01-06;68;6;15;0;23;False
2023-01-07;38;8;3;2;17;False
2023-01-08;50;3;13;0;27;False
2023-01-09;95;4;11;0;16;False
2023-01-10;77;5;20;0;25;False
2023-01-11;93;5;10;0;28;False
2023-01-12;81;5;20;0;24;False
2023-01-13;68;6;11;0;19;False
2023-01-14;52;5;9;0;18;False
2023-01-15;58;3;11;0;21;False
2023-01-16;96;3;16;0;22;False
2023-01-17;97;7;18;0;18;False
2023-01-18;83;4;15;2;25;False
2023-01-19;74;6;14;0;23;False
2023-01-20;81;5;11;0;19;False
2023-01-21;50;7;7;4;20;False
2023-01-22;41;0;8;0;22;False
2023-01-23;92;6;16;0;23;False
2023-01-24;92;4;18;0;17;False
2023-01-25;77;3;19;0;24;False
2023-01-26;93;8;21;0;21;False
2023-01-27;72;3;15;0;15;False
2023-01-28;40;0;7;0;21;False
2023-01-29;62;5;13;2;19;False
2023-01-30;96;5;29;0;32;False
2023-01-31;100;6;15;2;27;False
