date;The papacy;Pay;Defence policy;Slovakia;air travel;isPartial
2023-01-01;0;47;0;1;1;False
2023-01-02;0;60;0;1;1;False
2023-01-03;0;71;0;1;1;False
2023-01-04;0;75;0;2;1;False
2023-01-05;0;76;0;1;1;False
2023-01-06;0;70;0;1;1;False
2023-01-07;0;54;0;0;0;False
2023-01-08;0;60;0;1;1;False
2023-01-09;0;74;0;1;0;False
2023-01-10;0;78;0;1;1;False
2023-01-11;0;73;0;1;1;False
2023-01-12;0;73;0;1;1;False
2023-01-13;0;67;0;1;1;False
2023-01-14;0;49;0;1;1;False
2023-01-15;0;54;0;1;1;False
2023-01-16;0;74;0;1;1;False
2023-01-17;0;66;0;1;1;False
2023-01-18;0;75;0;1;1;False
2023-01-19;0;67;0;1;1;False
2023-01-20;0;76;0;1;1;False
2023-01-21;0;57;0;1;1;False
2023-01-22;0;61;0;1;1;False
2023-01-23;0;78;0;1;1;False
2023-01-24;0;79;0;1;1;False
2023-01-25;0;77;0;1;1;False
2023-01-26;0;75;0;1;1;False
2023-01-27;0;77;0;1;0;False
2023-01-28;0;58;0;1;1;False
2023-01-29;0;64;0;1;1;False
2023-01-30;0;86;0;1;1;False
2023-01-31;0;100;0;1;1;False
