date;Slovenia;Paul Beatty ;Erik ten Hag;Daniel Craig;air travel;isPartial
2023-01-01;13;0;6;100;7;False
2023-01-02;9;0;3;46;8;False
2023-01-03;9;0;4;23;5;False
2023-01-04;9;0;4;19;8;False
2023-01-05;6;1;3;21;7;False
2023-01-06;6;0;5;22;7;False
2023-01-07;7;0;7;25;5;False
2023-01-08;9;0;4;19;8;False
2023-01-09;9;0;2;13;4;False
2023-01-10;7;0;4;12;7;False
2023-01-11;5;0;6;14;8;False
2023-01-12;7;0;3;11;7;False
2023-01-13;6;0;5;12;5;False
2023-01-14;8;0;19;21;5;False
2023-01-15;8;0;10;20;6;False
2023-01-16;8;1;5;9;6;False
2023-01-17;7;0;5;10;5;False
2023-01-18;5;0;7;11;7;False
2023-01-19;7;0;3;7;7;False
2023-01-20;7;1;2;21;5;False
2023-01-21;8;0;3;44;6;False
2023-01-22;9;0;10;16;6;False
2023-01-23;7;0;3;9;6;False
2023-01-24;7;0;3;10;5;False
2023-01-25;5;0;5;6;7;False
2023-01-26;7;0;3;9;6;False
2023-01-27;6;0;4;10;4;False
2023-01-28;8;0;9;11;6;False
2023-01-29;10;0;5;14;5;False
2023-01-30;8;0;2;11;9;False
2023-01-31;8;0;4;8;8;False
