date;Autobiography and memoir;travel;Alice Neel;Delaware;air travel;isPartial
2023-01-01;0;72;0;1;1;False
2023-01-02;0;94;0;0;1;False
2023-01-03;0;95;0;0;1;False
2023-01-04;0;98;0;0;1;False
2023-01-05;0;92;0;1;1;False
2023-01-06;0;89;0;0;1;False
2023-01-07;0;85;0;0;1;False
2023-01-08;0;95;0;0;1;False
2023-01-09;0;99;0;1;1;False
2023-01-10;0;97;0;1;1;False
2023-01-11;0;92;0;1;1;False
2023-01-12;0;96;0;1;1;False
2023-01-13;0;87;0;0;1;False
2023-01-14;0;87;0;1;1;False
2023-01-15;0;98;0;1;1;False
2023-01-16;0;100;0;0;1;False
2023-01-17;0;92;0;1;1;False
2023-01-18;0;99;0;1;1;False
2023-01-19;0;87;0;1;1;False
2023-01-20;0;75;0;1;1;False
2023-01-21;0;85;0;0;1;False
2023-01-22;0;87;0;1;1;False
2023-01-23;0;91;0;1;1;False
2023-01-24;0;92;0;1;1;False
2023-01-25;0;89;0;1;1;False
2023-01-26;0;84;0;1;1;False
2023-01-27;0;91;0;1;1;False
2023-01-28;0;80;0;0;1;False
2023-01-29;0;92;0;0;1;False
2023-01-30;0;93;0;0;1;False
2023-01-31;0;92;0;1;1;False
