date;nato;Accessories;LPGA;Darren Aronofsky;air travel;isPartial
2023-01-01;13;75;0;1;6;False
2023-01-02;12;86;0;1;7;False
2023-01-03;9;70;0;1;4;False
2023-01-04;10;70;0;0;6;False
2023-01-05;11;74;0;1;5;False
2023-01-06;11;68;0;0;5;False
2023-01-07;9;86;1;1;4;False
2023-01-08;12;83;1;0;6;False
2023-01-09;12;66;0;1;4;False
2023-01-10;11;67;0;0;6;False
2023-01-11;11;65;0;0;6;False
2023-01-12;13;70;0;0;5;False
2023-01-13;11;66;0;1;4;False
2023-01-14;9;74;0;1;4;False
2023-01-15;11;83;1;1;5;False
2023-01-16;13;71;0;1;5;False
2023-01-17;8;65;0;1;4;False
2023-01-18;10;64;1;1;6;False
2023-01-19;11;65;2;1;5;False
2023-01-20;18;70;2;1;4;False
2023-01-21;13;100;2;2;5;False
2023-01-22;11;85;6;0;5;False
2023-01-23;15;68;1;1;5;False
2023-01-24;24;67;0;0;4;False
2023-01-25;21;63;1;1;5;False
2023-01-26;19;61;1;0;5;False
2023-01-27;19;66;0;1;3;False
2023-01-28;15;81;0;0;5;False
2023-01-29;18;82;0;1;4;False
2023-01-30;18;68;0;0;7;False
2023-01-31;18;71;0;0;6;False
