date;Choral music;Mark Ruffalo;Chemical weapons;Whales;air travel;isPartial
2023-01-01;15;18;0;58;64;False
2023-01-02;0;24;0;95;76;False
2023-01-03;0;21;4;41;49;False
2023-01-04;0;12;8;79;75;False
2023-01-05;12;20;0;37;61;False
2023-01-06;10;23;7;61;62;False
2023-01-07;0;0;0;68;45;False
2023-01-08;11;0;0;100;71;False
2023-01-09;4;14;0;74;42;False
2023-01-10;0;9;0;81;66;False
2023-01-11;0;11;4;82;75;False
2023-01-12;8;19;0;62;63;False
2023-01-13;8;8;0;55;50;False
2023-01-14;6;18;0;89;47;False
2023-01-15;8;18;0;66;56;False
2023-01-16;0;5;0;87;58;False
2023-01-17;0;16;0;55;47;False
2023-01-18;0;7;0;69;67;False
2023-01-19;0;13;4;85;61;False
2023-01-20;0;12;4;66;50;False
2023-01-21;11;19;0;83;53;False
2023-01-22;6;18;0;85;59;False
2023-01-23;7;0;0;59;60;False
2023-01-24;0;10;0;64;46;False
2023-01-25;4;6;0;60;63;False
2023-01-26;0;12;10;96;57;False
2023-01-27;0;6;15;82;40;False
2023-01-28;9;15;0;74;55;False
2023-01-29;5;28;0;68;51;False
2023-01-30;0;6;8;93;84;False
2023-01-31;7;0;9;62;71;False
