date;Nikki Amuka-Bird;Walking holidays;uk economy;US midterm elections 2022;air travel;isPartial
2023-01-01;0;22;30;0;37;False
2023-01-02;0;31;32;0;43;False
2023-01-03;0;14;57;7;28;False
2023-01-04;2;31;43;0;42;False
2023-01-05;0;6;31;0;35;False
2023-01-06;0;18;39;0;35;False
2023-01-07;0;19;26;0;26;False
2023-01-08;6;22;38;0;40;False
2023-01-09;0;12;31;0;24;False
2023-01-10;0;18;48;3;38;False
2023-01-11;0;10;35;0;43;False
2023-01-12;0;17;51;2;36;False
2023-01-13;0;10;58;2;29;False
2023-01-14;3;16;36;0;27;False
2023-01-15;0;25;35;0;32;False
2023-01-16;0;6;34;0;33;False
2023-01-17;0;19;61;0;27;False
2023-01-18;0;10;40;0;38;False
2023-01-19;0;0;51;3;35;False
2023-01-20;0;6;46;0;28;False
2023-01-21;0;12;33;5;30;False
2023-01-22;4;13;33;0;34;False
2023-01-23;0;17;49;3;34;False
2023-01-24;0;12;28;0;26;False
2023-01-25;0;12;36;0;36;False
2023-01-26;0;15;44;0;32;False
2023-01-27;0;16;35;0;23;False
2023-01-28;0;15;25;2;32;False
2023-01-29;0;24;26;0;29;False
2023-01-30;0;14;53;0;48;False
2023-01-31;0;13;100;0;40;False
