date;Chris Grayling;Oxfam;Sam Smith;PEN;air travel;isPartial
2023-01-01;0;7;16;54;4;False
2023-01-02;0;9;8;59;5;False
2023-01-03;0;7;8;56;3;False
2023-01-04;0;6;6;56;5;False
2023-01-05;0;7;7;57;4;False
2023-01-06;1;8;6;54;4;False
2023-01-07;0;9;9;56;3;False
2023-01-08;0;8;6;59;4;False
2023-01-09;0;7;6;53;3;False
2023-01-10;0;8;8;52;4;False
2023-01-11;0;9;6;51;5;False
2023-01-12;0;7;7;56;4;False
2023-01-13;0;6;8;55;3;False
2023-01-14;0;8;11;54;3;False
2023-01-15;0;9;9;52;3;False
2023-01-16;0;9;8;56;4;False
2023-01-17;1;6;7;52;3;False
2023-01-18;0;8;6;57;4;False
2023-01-19;0;5;6;53;4;False
2023-01-20;0;6;9;58;3;False
2023-01-21;0;6;13;63;3;False
2023-01-22;0;7;12;52;4;False
2023-01-23;0;8;11;54;4;False
2023-01-24;0;7;10;55;3;False
2023-01-25;0;7;9;51;4;False
2023-01-26;0;7;10;51;4;False
2023-01-27;0;8;50;57;2;False
2023-01-28;0;8;42;50;3;False
2023-01-29;0;6;49;53;3;False
2023-01-30;0;8;100;56;5;False
2023-01-31;0;8;86;57;4;False
