date;Oregon;Alexei Navalny;Saturday Night Live;Frances Barber;air travel;isPartial
2023-01-01;94;0;6;0;54;False
2023-01-02;81;4;0;0;64;False
2023-01-03;74;13;4;0;41;False
2023-01-04;49;13;4;0;62;False
2023-01-05;74;0;12;0;51;False
2023-01-06;86;6;6;4;52;False
2023-01-07;77;4;0;0;37;False
2023-01-08;69;0;11;0;59;False
2023-01-09;56;7;0;0;35;False
2023-01-10;55;0;8;8;55;False
2023-01-11;60;0;13;5;63;False
2023-01-12;58;0;0;0;52;False
2023-01-13;100;9;6;8;42;False
2023-01-14;61;14;10;0;39;False
2023-01-15;68;0;12;5;47;False
2023-01-16;50;0;6;10;48;False
2023-01-17;57;0;7;0;39;False
2023-01-18;53;0;0;0;56;False
2023-01-19;55;0;0;17;51;False
2023-01-20;62;5;4;17;42;False
2023-01-21;51;0;4;0;44;False
2023-01-22;78;0;11;79;49;False
2023-01-23;67;5;16;6;51;False
2023-01-24;76;0;0;0;39;False
2023-01-25;65;0;0;0;53;False
2023-01-26;45;10;10;3;48;False
2023-01-27;67;0;5;7;33;False
2023-01-28;66;0;9;6;46;False
2023-01-29;69;4;13;0;42;False
2023-01-30;59;5;12;8;70;False
2023-01-31;91;0;0;4;59;False
