date;Ice hockey;Christianity;Jeremy Corbyn;Dan Jarvis;air travel;isPartial
2023-01-01;85;47;4;0;31;False
2023-01-02;67;73;10;0;36;False
2023-01-03;52;44;7;2;24;False
2023-01-04;44;39;11;0;36;False
2023-01-05;51;52;7;0;29;False
2023-01-06;64;54;10;0;29;False
2023-01-07;77;48;11;0;21;False
2023-01-08;90;54;7;0;34;False
2023-01-09;53;54;10;0;20;False
2023-01-10;48;47;15;0;32;False
2023-01-11;42;44;8;0;36;False
2023-01-12;52;57;17;0;30;False
2023-01-13;47;41;11;0;24;False
2023-01-14;82;48;16;0;22;False
2023-01-15;83;51;8;0;27;False
2023-01-16;49;52;9;0;27;False
2023-01-17;51;49;11;0;22;False
2023-01-18;38;57;10;5;32;False
2023-01-19;37;58;17;0;29;False
2023-01-20;56;39;44;0;24;False
2023-01-21;89;46;15;7;25;False
2023-01-22;97;50;4;0;28;False
2023-01-23;54;48;3;0;29;False
2023-01-24;42;48;12;0;22;False
2023-01-25;54;43;10;0;30;False
2023-01-26;47;44;17;0;27;False
2023-01-27;56;40;6;0;19;False
2023-01-28;84;57;4;3;26;False
2023-01-29;100;54;14;3;24;False
2023-01-30;45;50;19;4;40;False
2023-01-31;39;57;7;0;34;False
