date;JP Morgan;Fallout;Angola;ellen degeneres;air travel;isPartial
2023-01-01;8;89;4;4;9;False
2023-01-02;11;83;4;3;11;False
2023-01-03;13;81;3;4;7;False
2023-01-04;15;82;5;4;11;False
2023-01-05;13;70;4;2;9;False
2023-01-06;9;66;5;2;9;False
2023-01-07;7;83;5;4;6;False
2023-01-08;9;100;7;4;10;False
2023-01-09;15;70;4;2;6;False
2023-01-10;16;72;4;7;10;False
2023-01-11;15;70;5;5;11;False
2023-01-12;17;73;5;4;9;False
2023-01-13;17;67;2;2;7;False
2023-01-14;10;76;4;4;7;False
2023-01-15;8;86;5;2;8;False
2023-01-16;11;71;12;3;8;False
2023-01-17;14;63;5;2;7;False
2023-01-18;18;83;5;1;10;False
2023-01-19;13;69;5;3;9;False
2023-01-20;16;68;7;4;7;False
2023-01-21;7;84;5;2;8;False
2023-01-22;11;80;3;3;8;False
2023-01-23;13;67;5;2;9;False
2023-01-24;15;72;6;2;7;False
2023-01-25;10;72;4;3;9;False
2023-01-26;11;76;4;3;8;False
2023-01-27;13;74;2;3;6;False
2023-01-28;9;80;4;3;8;False
2023-01-29;9;95;6;1;7;False
2023-01-30;14;73;5;1;12;False
2023-01-31;15;78;5;4;10;False
