date;Taylor Swift;Amazon;Meat;Volkswagen (VW);air travel;isPartial
2023-01-01;3;90;5;0;0;False
2023-01-02;2;95;5;0;0;False
2023-01-03;1;94;4;0;0;False
2023-01-04;2;95;4;0;0;False
2023-01-05;2;93;4;0;0;False
2023-01-06;2;86;4;0;0;False
2023-01-07;2;93;5;0;0;False
2023-01-08;2;97;5;0;0;False
2023-01-09;1;89;4;0;0;False
2023-01-10;1;100;4;0;0;False
2023-01-11;1;87;4;0;0;False
2023-01-12;2;95;5;0;0;False
2023-01-13;3;81;4;0;0;False
2023-01-14;2;91;5;0;0;False
2023-01-15;3;90;5;0;0;False
2023-01-16;2;84;4;0;0;False
2023-01-17;2;82;4;0;0;False
2023-01-18;2;80;4;0;0;False
2023-01-19;2;88;4;0;0;False
2023-01-20;2;79;4;0;0;False
2023-01-21;2;88;5;0;0;False
2023-01-22;2;92;5;0;0;False
2023-01-23;2;86;4;0;0;False
2023-01-24;1;85;4;0;0;False
2023-01-25;2;87;4;0;0;False
2023-01-26;2;81;4;0;0;False
2023-01-27;2;87;4;0;0;False
2023-01-28;2;81;5;0;0;False
2023-01-29;2;93;5;0;0;False
2023-01-30;2;85;4;0;0;False
2023-01-31;2;87;4;0;0;False
