date;Language;Islamophobia;Michaela Coel;Benjamin Netanyahu;air travel;isPartial
2023-01-01;70;0;0;0;3;False
2023-01-02;81;1;0;0;4;False
2023-01-03;78;0;0;0;2;False
2023-01-04;80;0;0;0;4;False
2023-01-05;80;0;0;0;3;False
2023-01-06;79;1;0;0;3;False
2023-01-07;67;0;0;0;2;False
2023-01-08;85;0;0;0;3;False
2023-01-09;100;0;0;0;2;False
2023-01-10;86;0;0;0;3;False
2023-01-11;86;0;0;0;4;False
2023-01-12;90;0;0;0;3;False
2023-01-13;81;1;0;0;2;False
2023-01-14;74;0;0;0;2;False
2023-01-15;78;0;0;0;3;False
2023-01-16;90;0;0;0;3;False
2023-01-17;88;1;0;0;2;False
2023-01-18;84;0;0;0;3;False
2023-01-19;86;0;0;1;3;False
2023-01-20;89;0;0;1;2;False
2023-01-21;72;0;0;0;3;False
2023-01-22;79;1;0;0;3;False
2023-01-23;89;0;1;1;3;False
2023-01-24;89;1;0;0;2;False
2023-01-25;86;0;0;0;3;False
2023-01-26;89;0;0;1;3;False
2023-01-27;84;0;0;0;2;False
2023-01-28;68;0;0;1;3;False
2023-01-29;77;0;0;0;2;False
2023-01-30;89;1;0;0;4;False
2023-01-31;87;0;0;0;3;False
