date;Marketing & PR;California;Gloucester;north korea;air travel;isPartial
2023-01-01;0;58;70;17;5;False
2023-01-02;0;46;72;14;6;False
2023-01-03;0;45;71;10;4;False
2023-01-04;0;46;72;5;6;False
2023-01-05;0;46;68;4;5;False
2023-01-06;0;51;94;5;5;False
2023-01-07;0;47;75;8;4;False
2023-01-08;1;55;64;6;6;False
2023-01-09;0;51;72;6;3;False
2023-01-10;0;74;70;4;5;False
2023-01-11;0;67;61;6;6;False
2023-01-12;0;63;75;7;5;False
2023-01-13;0;53;76;6;4;False
2023-01-14;0;47;100;8;4;False
2023-01-15;0;58;64;5;5;False
2023-01-16;1;46;72;4;5;False
2023-01-17;0;45;70;5;4;False
2023-01-18;0;43;66;6;6;False
2023-01-19;0;44;69;4;5;False
2023-01-20;1;48;79;5;4;False
2023-01-21;0;50;82;7;4;False
2023-01-22;0;77;64;6;5;False
2023-01-23;0;69;72;5;5;False
2023-01-24;0;56;71;6;4;False
2023-01-25;1;45;66;5;5;False
2023-01-26;1;42;66;5;5;False
2023-01-27;0;43;70;6;3;False
2023-01-28;0;44;87;7;5;False
2023-01-29;0;45;64;6;4;False
2023-01-30;0;42;73;5;7;False
2023-01-31;0;38;65;6;6;False
