date;cumbria;Tom Hanks;Couriers/delivery industry;Second homes;air travel;isPartial
2023-01-01;78;46;0;2;12;False
2023-01-02;76;37;0;1;15;False
2023-01-03;81;29;0;1;9;False
2023-01-04;79;27;0;2;14;False
2023-01-05;81;36;0;2;12;False
2023-01-06;78;33;0;0;12;False
2023-01-07;65;64;0;1;9;False
2023-01-08;83;44;0;2;14;False
2023-01-09;85;21;0;1;8;False
2023-01-10;100;36;0;3;13;False
2023-01-11;90;32;0;1;14;False
2023-01-12;89;35;0;2;12;False
2023-01-13;77;37;0;2;10;False
2023-01-14;70;42;0;0;9;False
2023-01-15;68;30;0;3;11;False
2023-01-16;99;23;0;3;11;False
2023-01-17;81;21;0;1;9;False
2023-01-18;81;18;0;4;13;False
2023-01-19;81;22;0;1;12;False
2023-01-20;82;31;0;2;9;False
2023-01-21;72;43;0;1;10;False
2023-01-22;74;33;0;1;11;False
2023-01-23;82;21;0;3;12;False
2023-01-24;79;23;0;2;9;False
2023-01-25;85;18;0;0;12;False
2023-01-26;80;21;0;1;11;False
2023-01-27;77;29;0;0;8;False
2023-01-28;67;32;0;0;11;False
2023-01-29;65;30;0;2;10;False
2023-01-30;86;18;0;0;16;False
2023-01-31;80;23;0;1;13;False
