date;M Night Shyamalan;justin welby;Mohammed bin Salman;Employment;air travel;isPartial
2023-01-01;2;5;2;28;10;False
2023-01-02;1;1;1;37;12;False
2023-01-03;2;1;0;69;8;False
2023-01-04;1;0;0;65;12;False
2023-01-05;3;0;1;85;10;False
2023-01-06;4;0;1;69;10;False
2023-01-07;2;0;1;36;7;False
2023-01-08;1;0;1;38;11;False
2023-01-09;3;2;0;80;7;False
2023-01-10;2;1;0;78;11;False
2023-01-11;2;0;2;80;12;False
2023-01-12;1;3;1;77;10;False
2023-01-13;2;1;0;75;8;False
2023-01-14;2;1;1;34;8;False
2023-01-15;3;1;0;39;9;False
2023-01-16;0;1;0;85;9;False
2023-01-17;2;0;1;84;8;False
2023-01-18;2;1;0;83;11;False
2023-01-19;1;0;0;83;10;False
2023-01-20;3;3;1;79;8;False
2023-01-21;5;3;1;38;9;False
2023-01-22;4;2;0;37;10;False
2023-01-23;6;0;1;86;10;False
2023-01-24;4;0;1;89;7;False
2023-01-25;3;1;0;87;10;False
2023-01-26;3;1;1;86;9;False
2023-01-27;48;1;0;68;6;False
2023-01-28;21;0;1;36;9;False
2023-01-29;13;2;2;41;8;False
2023-01-30;5;2;0;100;14;False
2023-01-31;8;0;1;94;11;False
