date;Veganism;Brooklyn subway shooting;Lillian Hellman;Wayne Couzens;air travel;isPartial
2023-01-01;18;0;0;10;76;False
2023-01-02;12;0;0;0;90;False
2023-01-03;9;0;0;0;59;False
2023-01-04;13;0;0;11;89;False
2023-01-05;19;8;0;8;73;False
2023-01-06;7;0;0;8;73;False
2023-01-07;0;0;6;14;53;False
2023-01-08;22;0;0;0;84;False
2023-01-09;0;0;0;0;50;False
2023-01-10;11;0;0;11;79;False
2023-01-11;0;0;10;0;90;False
2023-01-12;14;22;0;0;75;False
2023-01-13;0;5;0;10;60;False
2023-01-14;0;0;0;6;56;False
2023-01-15;13;0;0;18;66;False
2023-01-16;8;0;6;65;68;False
2023-01-17;21;0;6;41;56;False
2023-01-18;8;0;0;26;80;False
2023-01-19;11;0;6;30;73;False
2023-01-20;18;11;0;14;59;False
2023-01-21;18;0;0;9;63;False
2023-01-22;11;5;0;5;70;False
2023-01-23;0;0;0;6;72;False
2023-01-24;6;0;0;24;55;False
2023-01-25;7;0;0;9;75;False
2023-01-26;12;0;0;10;68;False
2023-01-27;6;0;14;5;47;False
2023-01-28;0;0;0;0;66;False
2023-01-29;17;0;20;0;60;False
2023-01-30;11;7;0;0;100;False
2023-01-31;12;6;0;23;84;False
