date;data and forensics;andrew mitchell;Jesse Plemons;Australian universities;air travel;isPartial
2023-01-01;0;13;13;0;76;False
2023-01-02;0;0;12;0;90;False
2023-01-03;0;6;10;0;59;False
2023-01-04;0;0;0;0;89;False
2023-01-05;0;14;6;8;73;False
2023-01-06;0;16;9;0;73;False
2023-01-07;0;0;10;0;53;False
2023-01-08;0;5;0;7;84;False
2023-01-09;5;0;8;0;50;False
2023-01-10;0;0;0;0;79;False
2023-01-11;5;9;10;0;90;False
2023-01-12;0;0;0;0;75;False
2023-01-13;0;0;0;0;60;False
2023-01-14;0;6;6;0;56;False
2023-01-15;0;0;0;0;66;False
2023-01-16;5;9;18;5;68;False
2023-01-17;0;0;0;6;56;False
2023-01-18;7;7;0;0;80;False
2023-01-19;0;0;0;0;73;False
2023-01-20;0;0;0;7;59;False
2023-01-21;0;15;11;0;63;False
2023-01-22;0;9;0;0;70;False
2023-01-23;0;12;9;0;72;False
2023-01-24;6;0;5;7;55;False
2023-01-25;0;0;7;0;75;False
2023-01-26;0;0;7;13;68;False
2023-01-27;0;0;0;0;47;False
2023-01-28;0;0;10;11;66;False
2023-01-29;0;0;0;0;60;False
2023-01-30;6;0;0;5;100;False
2023-01-31;0;0;13;0;84;False
