date;Children and teenagers;Kosovo;chicago;Leonardo DiCaprio;air travel;isPartial
2023-01-01;0;13;100;28;11;False
2023-01-02;1;7;88;34;13;False
2023-01-03;1;9;81;19;8;False
2023-01-04;0;11;77;20;13;False
2023-01-05;0;7;86;18;10;False
2023-01-06;0;4;89;17;11;False
2023-01-07;0;7;89;25;8;False
2023-01-08;0;7;95;29;12;False
2023-01-09;0;7;86;18;7;False
2023-01-10;0;8;86;14;11;False
2023-01-11;0;6;85;16;13;False
2023-01-12;0;8;75;17;11;False
2023-01-13;0;8;79;22;9;False
2023-01-14;0;8;93;26;8;False
2023-01-15;0;8;90;31;10;False
2023-01-16;1;5;84;21;10;False
2023-01-17;0;5;70;14;8;False
2023-01-18;0;4;74;13;11;False
2023-01-19;1;7;88;13;10;False
2023-01-20;0;10;88;17;8;False
2023-01-21;1;6;100;20;9;False
2023-01-22;1;6;91;15;10;False
2023-01-23;0;9;88;10;10;False
2023-01-24;0;8;80;15;8;False
2023-01-25;0;7;87;10;11;False
2023-01-26;0;5;77;13;10;False
2023-01-27;0;9;93;15;7;False
2023-01-28;0;6;89;18;9;False
2023-01-29;2;8;93;16;9;False
2023-01-30;1;6;80;18;14;False
2023-01-31;1;7;95;11;12;False
