date;Alcoholism;Elijah McClain;Asteroids;Mitchells & Butlers;air travel;isPartial
2023-01-01;29;0;14;0;76;False
2023-01-02;30;0;8;0;90;False
2023-01-03;26;0;5;10;59;False
2023-01-04;36;0;18;0;89;False
2023-01-05;21;0;5;10;73;False
2023-01-06;45;0;12;0;73;False
2023-01-07;23;0;0;0;53;False
2023-01-08;27;0;25;0;84;False
2023-01-09;0;0;0;0;50;False
2023-01-10;35;0;0;0;79;False
2023-01-11;32;0;0;0;90;False
2023-01-12;52;0;25;0;75;False
2023-01-13;21;5;10;0;60;False
2023-01-14;29;0;5;0;56;False
2023-01-15;28;0;18;0;66;False
2023-01-16;21;5;4;0;68;False
2023-01-17;24;8;0;19;56;False
2023-01-18;24;0;12;0;80;False
2023-01-19;24;0;10;7;73;False
2023-01-20;26;0;7;7;59;False
2023-01-21;31;0;0;23;63;False
2023-01-22;23;0;0;0;70;False
2023-01-23;9;0;13;0;72;False
2023-01-24;21;6;12;0;55;False
2023-01-25;37;0;0;8;75;False
2023-01-26;34;6;22;0;68;False
2023-01-27;23;0;10;6;47;False
2023-01-28;36;0;9;0;66;False
2023-01-29;19;5;7;0;60;False
2023-01-30;12;0;15;7;100;False
2023-01-31;10;6;15;6;84;False
