date;Newcastle United;Somalia;Kenya;Bereavement;air travel;isPartial
2023-01-01;21;2;9;3;2;False
2023-01-02;18;2;8;3;2;False
2023-01-03;51;2;8;6;1;False
2023-01-04;23;1;9;6;2;False
2023-01-05;17;2;8;6;2;False
2023-01-06;17;1;7;4;2;False
2023-01-07;47;2;7;2;1;False
2023-01-08;19;6;8;3;2;False
2023-01-09;15;1;9;7;1;False
2023-01-10;56;2;9;7;2;False
2023-01-11;27;1;8;6;2;False
2023-01-12;19;2;8;5;2;False
2023-01-13;17;1;8;5;1;False
2023-01-14;24;1;7;2;1;False
2023-01-15;59;1;7;2;2;False
2023-01-16;20;2;7;7;2;False
2023-01-17;18;2;8;6;1;False
2023-01-18;17;2;8;6;2;False
2023-01-19;19;1;8;5;2;False
2023-01-20;19;1;8;5;1;False
2023-01-21;54;1;8;2;1;False
2023-01-22;23;2;8;3;2;False
2023-01-23;20;2;10;7;2;False
2023-01-24;63;1;7;6;1;False
2023-01-25;33;1;8;6;2;False
2023-01-26;19;2;9;5;2;False
2023-01-27;22;2;8;5;1;False
2023-01-28;23;2;9;3;2;False
2023-01-29;24;2;11;4;1;False
2023-01-30;23;2;9;7;2;False
2023-01-31;100;1;7;6;2;False
