date;The sun;Gordon Brown;The Purge: Anarchy;prince andrew;air travel;isPartial
2023-01-01;100;1;0;11;2;False
2023-01-02;96;1;0;6;3;False
2023-01-03;87;0;0;5;2;False
2023-01-04;87;1;0;4;3;False
2023-01-05;93;0;0;3;2;False
2023-01-06;95;1;0;4;2;False
2023-01-07;84;0;0;4;2;False
2023-01-08;99;1;0;6;2;False
2023-01-09;95;1;0;4;1;False
2023-01-10;92;1;0;3;2;False
2023-01-11;89;1;0;4;3;False
2023-01-12;94;1;0;3;2;False
2023-01-13;94;0;0;3;2;False
2023-01-14;87;0;0;3;2;False
2023-01-15;98;0;0;2;2;False
2023-01-16;93;0;0;2;2;False
2023-01-17;89;1;0;2;2;False
2023-01-18;91;1;0;2;2;False
2023-01-19;85;1;0;2;2;False
2023-01-20;92;1;0;3;2;False
2023-01-21;89;1;0;2;2;False
2023-01-22;90;1;0;8;2;False
2023-01-23;98;2;0;6;2;False
2023-01-24;87;1;0;4;2;False
2023-01-25;86;0;0;4;2;False
2023-01-26;83;0;0;5;2;False
2023-01-27;84;1;0;3;1;False
2023-01-28;78;1;0;5;2;False
2023-01-29;84;1;0;4;2;False
2023-01-30;87;1;0;4;3;False
2023-01-31;90;1;0;3;2;False
