date;Paramount+;Royal Court theatre;Industrial relations;BBC;air travel;isPartial
2023-01-01;1;0;0;96;0;False
2023-01-02;1;0;0;91;0;False
2023-01-03;1;0;0;79;0;False
2023-01-04;1;0;0;84;0;False
2023-01-05;1;0;0;77;0;False
2023-01-06;1;0;0;82;0;False
2023-01-07;1;0;0;87;0;False
2023-01-08;1;0;0;97;0;False
2023-01-09;1;0;0;81;0;False
2023-01-10;1;0;0;83;0;False
2023-01-11;1;0;0;80;0;False
2023-01-12;1;0;0;85;0;False
2023-01-13;1;0;0;78;0;False
2023-01-14;1;0;0;99;0;False
2023-01-15;1;0;0;96;0;False
2023-01-16;1;0;0;86;0;False
2023-01-17;1;0;0;93;0;False
2023-01-18;1;0;0;84;0;False
2023-01-19;1;0;0;81;0;False
2023-01-20;1;0;0;75;0;False
2023-01-21;1;0;0;100;0;False
2023-01-22;1;0;0;91;0;False
2023-01-23;1;0;0;84;0;False
2023-01-24;1;0;0;85;0;False
2023-01-25;1;0;0;76;0;False
2023-01-26;1;0;0;66;0;False
2023-01-27;1;0;0;78;0;False
2023-01-28;1;0;0;86;0;False
2023-01-29;1;0;0;80;0;False
2023-01-30;1;0;0;73;0;False
2023-01-31;1;0;0;80;0;False
