date;Peter Dutton;Cindy McCain;Crosby, Stills, Nash and Young;Adventure games;air travel;isPartial
2023-01-01;0;7;0;41;76;False
2023-01-02;14;8;11;19;90;False
2023-01-03;9;0;0;27;59;False
2023-01-04;0;0;0;0;89;False
2023-01-05;0;0;11;22;73;False
2023-01-06;0;0;0;14;73;False
2023-01-07;0;0;11;6;53;False
2023-01-08;0;0;7;18;84;False
2023-01-09;0;0;0;25;50;False
2023-01-10;0;0;0;12;79;False
2023-01-11;0;0;0;8;90;False
2023-01-12;5;0;0;10;75;False
2023-01-13;0;12;0;24;60;False
2023-01-14;0;0;0;17;56;False
2023-01-15;0;0;0;21;66;False
2023-01-16;0;0;0;19;68;False
2023-01-17;0;0;0;26;56;False
2023-01-18;0;8;0;0;80;False
2023-01-19;0;0;0;16;73;False
2023-01-20;0;0;9;21;59;False
2023-01-21;0;13;6;20;63;False
2023-01-22;0;0;0;24;70;False
2023-01-23;0;0;0;37;72;False
2023-01-24;0;0;0;0;55;False
2023-01-25;0;0;0;8;75;False
2023-01-26;0;5;13;19;68;False
2023-01-27;0;10;0;40;47;False
2023-01-28;0;0;0;11;66;False
2023-01-29;11;0;0;0;60;False
2023-01-30;0;0;12;15;100;False
2023-01-31;12;0;0;31;84;False
