date;US television industry;Rust film set shooting;neighbours;Everton Women;air travel;isPartial
2023-01-01;0;0;69;0;21;False
2023-01-02;0;0;65;0;24;False
2023-01-03;0;0;71;4;16;False
2023-01-04;0;0;53;4;24;False
2023-01-05;0;0;73;3;20;False
2023-01-06;0;0;100;2;20;False
2023-01-07;0;0;61;0;14;False
2023-01-08;0;0;69;3;23;False
2023-01-09;0;0;72;3;13;False
2023-01-10;0;0;62;2;21;False
2023-01-11;0;0;53;2;24;False
2023-01-12;0;0;66;0;20;False
2023-01-13;0;0;96;2;16;False
2023-01-14;0;0;76;0;15;False
2023-01-15;0;0;70;7;18;False
2023-01-16;0;0;54;2;19;False
2023-01-17;0;0;62;0;15;False
2023-01-18;0;0;57;1;22;False
2023-01-19;0;0;62;2;20;False
2023-01-20;0;0;55;0;16;False
2023-01-21;0;0;75;0;17;False
2023-01-22;0;0;61;5;19;False
2023-01-23;0;0;53;3;19;False
2023-01-24;0;0;49;1;15;False
2023-01-25;0;0;57;0;20;False
2023-01-26;0;0;59;0;18;False
2023-01-27;0;0;50;2;13;False
2023-01-28;0;0;69;0;18;False
2023-01-29;0;0;71;5;16;False
2023-01-30;0;0;56;0;27;False
2023-01-31;0;0;58;2;23;False
