date;Aldi;Women's hair;richard branson;PC;air travel;isPartial
2023-01-01;84;0;1;38;1;False
2023-01-02;100;0;0;38;1;False
2023-01-03;40;0;0;34;1;False
2023-01-04;35;1;0;34;1;False
2023-01-05;36;0;0;31;1;False
2023-01-06;38;1;1;31;1;False
2023-01-07;42;0;0;34;1;False
2023-01-08;65;0;2;35;1;False
2023-01-09;35;0;2;30;1;False
2023-01-10;31;0;2;32;1;False
2023-01-11;31;1;0;30;1;False
2023-01-12;35;1;1;32;1;False
2023-01-13;33;0;0;30;1;False
2023-01-14;42;0;0;34;1;False
2023-01-15;47;0;0;34;1;False
2023-01-16;31;0;0;31;1;False
2023-01-17;29;0;0;29;1;False
2023-01-18;31;0;0;30;1;False
2023-01-19;31;0;0;29;1;False
2023-01-20;31;0;0;31;1;False
2023-01-21;39;0;0;35;1;False
2023-01-22;49;0;1;33;1;False
2023-01-23;33;0;0;31;1;False
2023-01-24;33;0;0;31;1;False
2023-01-25;29;0;0;29;1;False
2023-01-26;31;0;0;29;1;False
2023-01-27;31;0;0;31;1;False
2023-01-28;36;1;0;33;1;False
2023-01-29;46;0;0;33;1;False
2023-01-30;34;0;1;31;1;False
2023-01-31;31;0;0;32;1;False
