date;Pedro Almodóvar;Music;Norovirus;Bundesliga;air travel;isPartial
2023-01-01;0;86;2;2;1;False
2023-01-02;0;80;2;2;1;False
2023-01-03;0;75;2;1;1;False
2023-01-04;0;78;1;1;1;False
2023-01-05;0;80;1;1;1;False
2023-01-06;0;85;1;1;1;False
2023-01-07;0;78;1;2;1;False
2023-01-08;0;87;1;1;1;False
2023-01-09;0;86;1;1;1;False
2023-01-10;0;80;1;1;1;False
2023-01-11;0;86;1;1;1;False
2023-01-12;0;96;1;1;1;False
2023-01-13;0;87;1;2;1;False
2023-01-14;0;100;1;2;1;False
2023-01-15;0;86;1;2;1;False
2023-01-16;0;81;1;2;1;False
2023-01-17;0;80;1;2;1;False
2023-01-18;0;83;1;2;1;False
2023-01-19;0;86;1;2;1;False
2023-01-20;0;88;1;5;1;False
2023-01-21;0;93;1;6;1;False
2023-01-22;0;85;1;6;1;False
2023-01-23;0;92;2;2;1;False
2023-01-24;0;89;1;5;1;False
2023-01-25;0;88;2;6;1;False
2023-01-26;0;82;1;3;1;False
2023-01-27;0;89;2;3;1;False
2023-01-28;0;83;1;6;1;False
2023-01-29;0;88;1;5;1;False
2023-01-30;0;88;2;2;1;False
2023-01-31;0;87;2;3;1;False
