date;City breaks;raye;OECD;Hampshire;air travel;isPartial
2023-01-01;52;6;3;77;9;False
2023-01-02;49;7;3;88;10;False
2023-01-03;49;8;5;92;7;False
2023-01-04;43;9;3;94;10;False
2023-01-05;46;10;5;85;8;False
2023-01-06;42;29;4;89;8;False
2023-01-07;44;22;3;88;6;False
2023-01-08;54;15;3;92;9;False
2023-01-09;40;11;5;97;6;False
2023-01-10;39;9;3;89;9;False
2023-01-11;37;9;5;92;10;False
2023-01-12;33;10;6;99;8;False
2023-01-13;32;48;5;83;7;False
2023-01-14;40;43;2;83;6;False
2023-01-15;51;27;4;81;7;False
2023-01-16;40;15;7;100;8;False
2023-01-17;37;15;4;93;6;False
2023-01-18;30;16;6;93;9;False
2023-01-19;36;13;6;82;8;False
2023-01-20;31;10;8;91;7;False
2023-01-21;46;15;2;82;7;False
2023-01-22;49;11;4;80;8;False
2023-01-23;40;14;7;84;8;False
2023-01-24;35;13;7;86;6;False
2023-01-25;35;10;5;91;8;False
2023-01-26;32;12;6;75;8;False
2023-01-27;32;14;5;83;5;False
2023-01-28;33;15;3;67;7;False
2023-01-29;47;12;3;88;7;False
2023-01-30;33;12;7;92;11;False
2023-01-31;33;12;6;84;9;False
