date;Yvette Cooper;Entrepreneurs;de la soul;Chelsea;air travel;isPartial
2023-01-01;0;0;0;59;1;False
2023-01-02;0;0;0;21;1;False
2023-01-03;0;0;1;17;0;False
2023-01-04;0;0;0;19;1;False
2023-01-05;0;0;0;82;1;False
2023-01-06;0;0;0;36;1;False
2023-01-07;0;0;0;22;0;False
2023-01-08;0;0;0;91;1;False
2023-01-09;0;0;0;22;0;False
2023-01-10;0;0;0;18;1;False
2023-01-11;0;0;0;20;1;False
2023-01-12;0;0;0;84;1;False
2023-01-13;0;0;0;33;0;False
2023-01-14;0;0;0;27;0;False
2023-01-15;0;0;0;76;0;False
2023-01-16;0;0;0;20;0;False
2023-01-17;0;0;0;17;0;False
2023-01-18;0;0;0;17;1;False
2023-01-19;0;0;0;18;1;False
2023-01-20;0;0;0;19;0;False
2023-01-21;0;0;0;100;0;False
2023-01-22;0;0;0;23;0;False
2023-01-23;0;0;0;18;0;False
2023-01-24;0;0;0;17;0;False
2023-01-25;0;0;0;17;1;False
2023-01-26;0;0;0;17;0;False
2023-01-27;0;0;0;17;0;False
2023-01-28;0;0;0;17;0;False
2023-01-29;0;0;0;21;0;False
2023-01-30;0;0;0;21;1;False
2023-01-31;0;0;0;35;1;False
