date;Jamaica;Fintech;Australia news;Catalonia;air travel;isPartial
2023-01-01;76;2;6;3;9;False
2023-01-02;72;2;8;5;11;False
2023-01-03;67;7;9;4;7;False
2023-01-04;93;9;9;4;11;False
2023-01-05;89;6;8;5;9;False
2023-01-06;76;8;6;4;9;False
2023-01-07;71;6;7;5;6;False
2023-01-08;82;5;8;6;10;False
2023-01-09;66;11;8;7;6;False
2023-01-10;70;7;5;6;9;False
2023-01-11;77;7;7;5;11;False
2023-01-12;56;9;6;8;9;False
2023-01-13;60;9;4;5;7;False
2023-01-14;95;2;4;5;7;False
2023-01-15;100;3;5;5;8;False
2023-01-16;57;10;5;6;8;False
2023-01-17;59;11;5;3;7;False
2023-01-18;60;9;6;4;10;False
2023-01-19;78;9;6;4;9;False
2023-01-20;76;6;5;4;7;False
2023-01-21;63;5;6;5;7;False
2023-01-22;66;5;5;4;8;False
2023-01-23;64;13;6;5;9;False
2023-01-24;59;8;5;3;7;False
2023-01-25;60;11;8;4;9;False
2023-01-26;54;9;5;3;8;False
2023-01-27;55;8;6;2;6;False
2023-01-28;57;4;5;7;8;False
2023-01-29;68;5;5;4;7;False
2023-01-30;60;12;5;7;12;False
2023-01-31;58;9;5;5;10;False
