date;David Beckham;Reproductive rights;Child benefits;US education;air travel;isPartial
2023-01-01;90;0;12;0;32;False
2023-01-02;72;0;17;0;38;False
2023-01-03;49;0;20;7;25;False
2023-01-04;40;5;15;12;37;False
2023-01-05;50;0;27;4;31;False
2023-01-06;86;0;14;3;31;False
2023-01-07;78;0;13;0;23;False
2023-01-08;74;0;18;0;36;False
2023-01-09;57;0;13;0;21;False
2023-01-10;45;0;21;3;33;False
2023-01-11;68;0;24;5;38;False
2023-01-12;55;0;27;0;32;False
2023-01-13;46;0;15;12;25;False
2023-01-14;55;0;12;3;24;False
2023-01-15;45;5;14;2;28;False
2023-01-16;32;0;23;10;29;False
2023-01-17;33;2;21;2;24;False
2023-01-18;38;0;21;20;34;False
2023-01-19;32;4;21;0;31;False
2023-01-20;39;0;29;2;25;False
2023-01-21;51;0;9;0;27;False
2023-01-22;100;5;26;3;30;False
2023-01-23;53;0;27;4;30;False
2023-01-24;38;0;24;4;23;False
2023-01-25;54;0;26;7;32;False
2023-01-26;39;0;23;2;29;False
2023-01-27;43;0;13;3;20;False
2023-01-28;50;3;13;0;28;False
2023-01-29;52;6;18;0;25;False
2023-01-30;33;0;32;5;42;False
2023-01-31;32;0;13;0;35;False
