date;Claudia Winkleman;Hostels;Philadelphia 76ers;migrant crossings;air travel;isPartial
2023-01-01;83;55;0;16;48;False
2023-01-02;100;66;0;0;57;False
2023-01-03;64;78;5;0;37;False
2023-01-04;51;74;4;0;55;False
2023-01-05;65;67;0;8;46;False
2023-01-06;58;60;8;6;46;False
2023-01-07;56;60;0;4;33;False
2023-01-08;64;77;4;0;53;False
2023-01-09;38;59;7;0;31;False
2023-01-10;39;69;0;5;49;False
2023-01-11;33;65;4;0;56;False
2023-01-12;23;65;0;0;47;False
2023-01-13;38;58;0;0;37;False
2023-01-14;70;59;0;0;35;False
2023-01-15;41;84;0;0;41;False
2023-01-16;44;78;0;0;43;False
2023-01-17;48;56;0;0;35;False
2023-01-18;66;57;0;0;50;False
2023-01-19;50;82;0;0;45;False
2023-01-20;49;44;0;0;37;False
2023-01-21;61;59;0;0;39;False
2023-01-22;43;75;8;0;44;False
2023-01-23;29;55;4;0;45;False
2023-01-24;46;69;9;3;34;False
2023-01-25;28;65;0;5;47;False
2023-01-26;26;58;6;0;42;False
2023-01-27;32;56;0;0;29;False
2023-01-28;43;60;0;0;41;False
2023-01-29;30;81;0;6;38;False
2023-01-30;24;64;0;9;62;False
2023-01-31;19;69;5;0;52;False
