date;Sailing;Janis Joplin;Azeem Rafiq;Gay and lesbian travel;air travel;isPartial
2023-01-01;83;11;3;0;24;False
2023-01-02;85;6;0;0;28;False
2023-01-03;86;4;0;0;18;False
2023-01-04;83;6;3;0;28;False
2023-01-05;53;0;0;0;23;False
2023-01-06;81;6;4;0;23;False
2023-01-07;100;9;3;0;17;False
2023-01-08;93;4;0;0;26;False
2023-01-09;79;3;0;0;16;False
2023-01-10;84;3;0;0;25;False
2023-01-11;59;4;0;0;28;False
2023-01-12;78;5;0;0;23;False
2023-01-13;60;3;0;0;19;False
2023-01-14;75;5;0;0;18;False
2023-01-15;87;4;0;0;21;False
2023-01-16;60;14;0;0;21;False
2023-01-17;68;5;0;0;17;False
2023-01-18;68;10;0;0;25;False
2023-01-19;66;17;0;0;23;False
2023-01-20;82;15;4;0;18;False
2023-01-21;78;9;0;0;20;False
2023-01-22;69;4;0;0;22;False
2023-01-23;77;2;0;0;22;False
2023-01-24;64;7;0;0;17;False
2023-01-25;53;0;0;0;24;False
2023-01-26;77;2;0;0;21;False
2023-01-27;59;5;0;0;15;False
2023-01-28;66;4;0;0;21;False
2023-01-29;80;2;3;0;19;False
2023-01-30;74;3;0;0;31;False
2023-01-31;83;6;5;0;26;False
