date;Newcastle;Fishing;Death and dying;Malcolm Turnbull;air travel;isPartial
2023-01-01;31;8;0;0;0;False
2023-01-02;30;8;0;0;1;False
2023-01-03;78;6;0;0;0;False
2023-01-04;37;6;0;0;1;False
2023-01-05;31;7;0;0;0;False
2023-01-06;33;7;0;0;0;False
2023-01-07;59;7;0;0;0;False
2023-01-08;30;8;0;0;1;False
2023-01-09;31;6;0;0;0;False
2023-01-10;68;6;0;0;1;False
2023-01-11;41;6;0;0;1;False
2023-01-12;35;6;0;0;0;False
2023-01-13;32;5;0;0;0;False
2023-01-14;37;7;0;0;0;False
2023-01-15;71;7;0;0;0;False
2023-01-16;35;6;0;0;0;False
2023-01-17;32;6;0;0;0;False
2023-01-18;30;6;0;0;1;False
2023-01-19;32;5;0;0;0;False
2023-01-20;32;6;0;0;0;False
2023-01-21;65;7;0;0;0;False
2023-01-22;35;7;0;0;0;False
2023-01-23;33;6;0;0;0;False
2023-01-24;78;6;0;0;0;False
2023-01-25;42;6;0;0;0;False
2023-01-26;33;6;0;0;0;False
2023-01-27;34;6;0;0;0;False
2023-01-28;35;7;0;0;0;False
2023-01-29;37;8;0;0;0;False
2023-01-30;37;6;0;0;1;False
2023-01-31;100;6;0;0;1;False
