date;Trees and forests;Sesame Street;Factual TV;Phil Spector;air travel;isPartial
2023-01-01;3;11;0;19;17;False
2023-01-02;3;7;0;22;20;False
2023-01-03;0;14;0;17;13;False
2023-01-04;2;9;0;8;20;False
2023-01-05;0;10;0;19;16;False
2023-01-06;1;11;0;7;17;False
2023-01-07;0;10;1;17;12;False
2023-01-08;0;5;0;100;19;False
2023-01-09;0;6;0;56;11;False
2023-01-10;0;7;0;40;18;False
2023-01-11;0;3;0;35;20;False
2023-01-12;0;8;0;27;17;False
2023-01-13;0;9;0;24;14;False
2023-01-14;0;9;2;31;13;False
2023-01-15;0;15;0;37;15;False
2023-01-16;0;6;0;16;15;False
2023-01-17;0;9;0;19;13;False
2023-01-18;0;10;0;13;18;False
2023-01-19;0;6;0;15;16;False
2023-01-20;2;14;0;15;13;False
2023-01-21;0;10;1;15;14;False
2023-01-22;0;8;1;36;16;False
2023-01-23;2;7;3;9;16;False
2023-01-24;0;11;2;5;12;False
2023-01-25;0;17;1;6;17;False
2023-01-26;0;7;0;5;15;False
2023-01-27;0;9;3;5;11;False
2023-01-28;1;7;0;10;15;False
2023-01-29;0;12;0;13;14;False
2023-01-30;5;7;0;7;23;False
2023-01-31;1;14;0;3;19;False
