date;Tofu;Arsenal;Crown estate;Sean Connery;air travel;isPartial
2023-01-01;1;17;0;1;0;False
2023-01-02;1;16;0;0;0;False
2023-01-03;1;44;0;0;0;False
2023-01-04;1;16;0;0;0;False
2023-01-05;1;12;0;0;0;False
2023-01-06;1;12;0;0;0;False
2023-01-07;1;12;0;0;0;False
2023-01-08;1;13;0;0;0;False
2023-01-09;1;39;0;0;0;False
2023-01-10;2;17;0;0;0;False
2023-01-11;1;13;0;0;0;False
2023-01-12;1;14;0;0;0;False
2023-01-13;1;14;0;0;0;False
2023-01-14;1;23;0;0;0;False
2023-01-15;1;77;0;0;0;False
2023-01-16;1;19;0;0;0;False
2023-01-17;1;12;0;0;0;False
2023-01-18;1;15;0;0;0;False
2023-01-19;1;19;0;0;0;False
2023-01-20;1;18;0;0;0;False
2023-01-21;1;19;0;0;0;False
2023-01-22;1;100;0;0;0;False
2023-01-23;1;23;0;0;0;False
2023-01-24;1;15;0;0;0;False
2023-01-25;1;13;0;0;0;False
2023-01-26;1;15;0;0;0;False
2023-01-27;1;52;0;0;0;False
2023-01-28;1;24;0;0;0;False
2023-01-29;1;17;0;0;0;False
2023-01-30;1;17;0;0;0;False
2023-01-31;1;24;0;0;0;False
