date;Lisa Marie Presley;Ebola;Nuclear power;Championship;air travel;isPartial
2023-01-01;0;0;0;22;0;False
2023-01-02;0;0;0;28;1;False
2023-01-03;0;0;0;17;0;False
2023-01-04;0;0;0;9;1;False
2023-01-05;0;0;0;5;0;False
2023-01-06;0;0;0;5;0;False
2023-01-07;0;0;0;9;0;False
2023-01-08;0;0;0;8;0;False
2023-01-09;0;0;0;4;0;False
2023-01-10;0;0;0;5;0;False
2023-01-11;0;0;0;4;1;False
2023-01-12;5;0;0;4;0;False
2023-01-13;100;0;0;5;0;False
2023-01-14;18;0;0;17;0;False
2023-01-15;8;0;0;9;0;False
2023-01-16;4;0;0;6;0;False
2023-01-17;4;0;0;5;0;False
2023-01-18;2;0;0;5;0;False
2023-01-19;2;0;0;4;0;False
2023-01-20;2;0;0;10;0;False
2023-01-21;3;0;0;17;0;False
2023-01-22;6;0;0;12;0;False
2023-01-23;3;0;0;5;0;False
2023-01-24;2;0;0;4;0;False
2023-01-25;1;0;0;4;0;False
2023-01-26;1;0;0;4;0;False
2023-01-27;1;0;0;5;0;False
2023-01-28;1;0;0;11;0;False
2023-01-29;1;0;0;7;0;False
2023-01-30;1;0;0;5;1;False
2023-01-31;2;0;0;6;0;False
