date;Drones (military);Radio 4;Michelle Donelan;Private schools;air travel;isPartial
2023-01-01;0;100;0;10;14;False
2023-01-02;0;92;0;13;16;False
2023-01-03;0;96;0;10;10;False
2023-01-04;0;78;12;10;16;False
2023-01-05;0;81;11;12;13;False
2023-01-06;0;88;5;15;13;False
2023-01-07;2;86;0;12;9;False
2023-01-08;3;90;0;16;15;False
2023-01-09;0;86;1;12;9;False
2023-01-10;1;96;0;15;14;False
2023-01-11;0;86;6;14;16;False
2023-01-12;0;88;5;16;13;False
2023-01-13;0;86;7;9;11;False
2023-01-14;0;91;2;12;10;False
2023-01-15;0;83;2;13;12;False
2023-01-16;0;92;2;15;12;False
2023-01-17;2;82;2;17;10;False
2023-01-18;0;81;3;18;14;False
2023-01-19;0;88;1;13;13;False
2023-01-20;0;100;0;14;10;False
2023-01-21;2;81;0;10;11;False
2023-01-22;0;86;0;13;12;False
2023-01-23;0;91;0;12;13;False
2023-01-24;2;78;1;17;10;False
2023-01-25;1;85;0;14;13;False
2023-01-26;0;81;5;9;12;False
2023-01-27;1;97;0;16;8;False
2023-01-28;0;83;0;8;12;False
2023-01-29;0;74;1;10;11;False
2023-01-30;1;95;0;17;18;False
2023-01-31;1;97;0;16;15;False
