date;Tottenham Hotspur;History of science;Daniel Kaluuya;Chile;air travel;isPartial
2023-01-01;84;4;3;35;19;False
2023-01-02;35;1;3;40;23;False
2023-01-03;33;3;2;46;15;False
2023-01-04;70;2;2;46;22;False
2023-01-05;40;3;0;45;18;False
2023-01-06;46;0;3;43;18;False
2023-01-07;69;0;5;43;13;False
2023-01-08;34;3;2;43;21;False
2023-01-09;39;4;2;41;13;False
2023-01-10;42;3;0;39;20;False
2023-01-11;40;2;3;39;22;False
2023-01-12;29;2;3;43;19;False
2023-01-13;32;2;7;30;15;False
2023-01-14;38;0;1;36;14;False
2023-01-15;100;3;3;44;17;False
2023-01-16;36;3;1;35;17;False
2023-01-17;34;4;0;43;14;False
2023-01-18;39;4;0;36;20;False
2023-01-19;79;5;0;38;18;False
2023-01-20;52;3;3;37;15;False
2023-01-21;39;2;3;33;16;False
2023-01-22;49;1;0;42;18;False
2023-01-23;75;1;0;51;18;False
2023-01-24;48;0;0;54;14;False
2023-01-25;47;4;5;39;19;False
2023-01-26;43;6;4;36;17;False
2023-01-27;43;0;5;42;12;False
2023-01-28;90;2;3;34;17;False
2023-01-29;48;3;4;46;15;False
2023-01-30;43;6;1;52;25;False
2023-01-31;50;0;2;35;21;False
