date;Tonga;Video assistant referees (VARs);rainforest;south yorkshire;air travel;isPartial
2023-01-01;9;0;31;25;18;False
2023-01-02;7;0;36;44;22;False
2023-01-03;11;0;33;79;14;False
2023-01-04;7;0;40;54;21;False
2023-01-05;5;0;43;37;17;False
2023-01-06;12;0;42;35;17;False
2023-01-07;4;0;32;28;13;False
2023-01-08;16;0;39;28;20;False
2023-01-09;7;0;44;37;12;False
2023-01-10;9;0;49;30;19;False
2023-01-11;6;0;54;42;21;False
2023-01-12;7;0;52;31;18;False
2023-01-13;7;0;47;37;14;False
2023-01-14;0;0;34;20;13;False
2023-01-15;12;0;45;28;16;False
2023-01-16;14;0;56;39;16;False
2023-01-17;39;0;62;34;13;False
2023-01-18;8;0;59;41;19;False
2023-01-19;8;0;58;32;17;False
2023-01-20;7;0;57;27;14;False
2023-01-21;22;0;32;30;15;False
2023-01-22;9;0;45;35;17;False
2023-01-23;5;0;59;36;17;False
2023-01-24;15;0;50;33;13;False
2023-01-25;11;0;59;32;18;False
2023-01-26;8;0;56;28;16;False
2023-01-27;9;0;51;35;11;False
2023-01-28;6;0;28;29;16;False
2023-01-29;7;0;47;100;14;False
2023-01-30;9;0;49;75;24;False
2023-01-31;8;0;51;44;20;False
