date;Leila Farzad;Swimming;Måneskin;ezra miller;air travel;isPartial
2023-01-01;0;78;0;1;3;False
2023-01-02;0;89;0;1;3;False
2023-01-03;0;83;0;1;2;False
2023-01-04;0;81;0;1;3;False
2023-01-05;0;77;0;2;3;False
2023-01-06;0;79;0;2;3;False
2023-01-07;0;92;1;1;2;False
2023-01-08;0;100;0;1;3;False
2023-01-09;0;85;0;1;2;False
2023-01-10;0;77;0;1;3;False
2023-01-11;0;70;0;1;3;False
2023-01-12;0;79;0;2;3;False
2023-01-13;0;78;0;8;2;False
2023-01-14;0;92;0;4;2;False
2023-01-15;0;97;0;2;2;False
2023-01-16;0;78;0;1;2;False
2023-01-17;0;71;0;1;2;False
2023-01-18;0;67;0;1;3;False
2023-01-19;0;69;0;1;3;False
2023-01-20;0;75;1;1;2;False
2023-01-21;0;98;0;1;2;False
2023-01-22;1;92;0;1;3;False
2023-01-23;0;78;0;1;3;False
2023-01-24;0;71;0;1;2;False
2023-01-25;0;70;1;1;3;False
2023-01-26;0;68;0;1;2;False
2023-01-27;0;74;0;1;2;False
2023-01-28;0;90;0;1;2;False
2023-01-29;1;94;1;1;2;False
2023-01-30;0;77;0;1;4;False
2023-01-31;0;75;0;1;3;False
