date;Adventure travel;Iraq;eurovision;Martin Sorrell;air travel;isPartial
2023-01-01;1;4;98;0;4;False
2023-01-02;1;5;14;0;5;False
2023-01-03;0;7;12;0;3;False
2023-01-04;1;6;9;0;5;False
2023-01-05;0;6;15;0;4;False
2023-01-06;0;13;11;0;4;False
2023-01-07;0;7;14;0;3;False
2023-01-08;0;8;12;0;4;False
2023-01-09;1;16;19;0;3;False
2023-01-10;1;9;22;0;4;False
2023-01-11;1;8;13;0;5;False
2023-01-12;1;13;14;0;4;False
2023-01-13;0;8;14;0;3;False
2023-01-14;1;7;15;0;3;False
2023-01-15;0;7;13;0;4;False
2023-01-16;0;17;13;0;4;False
2023-01-17;1;8;11;0;3;False
2023-01-18;1;10;10;0;4;False
2023-01-19;1;30;10;0;4;False
2023-01-20;0;10;13;0;3;False
2023-01-21;0;8;14;0;3;False
2023-01-22;1;6;12;0;4;False
2023-01-23;1;7;10;0;4;False
2023-01-24;0;8;10;0;3;False
2023-01-25;1;9;10;0;4;False
2023-01-26;0;6;41;0;4;False
2023-01-27;1;8;21;0;2;False
2023-01-28;1;7;21;0;3;False
2023-01-29;1;8;16;0;3;False
2023-01-30;1;8;20;0;5;False
2023-01-31;0;6;100;0;4;False
