date;Alice Walker;Anne Hathaway;wigan;Vinícius Júnior;air travel;isPartial
2023-01-01;0;3;65;0;5;False
2023-01-02;0;4;100;0;6;False
2023-01-03;0;3;66;0;4;False
2023-01-04;0;5;62;0;6;False
2023-01-05;0;3;63;1;5;False
2023-01-06;0;2;69;0;5;False
2023-01-07;0;4;83;0;3;False
2023-01-08;0;5;64;0;5;False
2023-01-09;0;3;64;0;3;False
2023-01-10;1;4;68;0;5;False
2023-01-11;0;4;62;0;6;False
2023-01-12;0;3;66;0;5;False
2023-01-13;1;4;66;0;4;False
2023-01-14;0;4;83;0;4;False
2023-01-15;0;3;58;0;4;False
2023-01-16;0;2;66;0;4;False
2023-01-17;1;3;93;0;4;False
2023-01-18;0;3;68;0;5;False
2023-01-19;0;3;66;0;5;False
2023-01-20;0;3;67;0;4;False
2023-01-21;0;3;81;0;4;False
2023-01-22;1;8;62;0;4;False
2023-01-23;0;5;65;0;5;False
2023-01-24;1;5;66;0;3;False
2023-01-25;0;4;60;0;5;False
2023-01-26;0;5;69;0;4;False
2023-01-27;1;8;76;0;3;False
2023-01-28;0;8;69;0;4;False
2023-01-29;0;9;61;0;4;False
2023-01-30;0;5;67;0;6;False
2023-01-31;1;5;70;0;5;False
