date;Plagiarism;Myanmar;florida;owen paterson;air travel;isPartial
2023-01-01;6;6;94;3;7;False
2023-01-02;10;5;91;1;9;False
2023-01-03;14;6;75;0;6;False
2023-01-04;15;6;76;1;9;False
2023-01-05;17;3;77;0;7;False
2023-01-06;16;5;77;1;7;False
2023-01-07;12;4;84;0;5;False
2023-01-08;19;2;96;0;8;False
2023-01-09;21;5;71;0;5;False
2023-01-10;20;5;72;0;8;False
2023-01-11;21;6;64;1;9;False
2023-01-12;19;7;68;0;7;False
2023-01-13;14;5;66;0;6;False
2023-01-14;8;4;80;1;5;False
2023-01-15;16;4;92;0;6;False
2023-01-16;17;6;69;0;7;False
2023-01-17;17;7;63;0;5;False
2023-01-18;16;21;61;1;8;False
2023-01-19;14;7;70;0;7;False
2023-01-20;13;8;69;0;6;False
2023-01-21;9;6;74;2;6;False
2023-01-22;13;5;90;0;7;False
2023-01-23;15;6;67;0;7;False
2023-01-24;12;12;66;0;5;False
2023-01-25;14;9;68;1;7;False
2023-01-26;11;5;64;1;7;False
2023-01-27;12;6;65;0;5;False
2023-01-28;8;5;70;0;6;False
2023-01-29;9;4;100;1;6;False
2023-01-30;14;6;73;0;10;False
2023-01-31;11;6;69;1;8;False
