date;newcastle;Tesla;Lyft;Marcus Rashford;air travel;isPartial
2023-01-01;31;7;0;2;0;False
2023-01-02;30;7;0;2;1;False
2023-01-03;78;12;0;1;0;False
2023-01-04;37;10;0;1;1;False
2023-01-05;31;9;0;0;0;False
2023-01-06;33;10;0;2;0;False
2023-01-07;59;6;0;1;0;False
2023-01-08;30;6;0;1;1;False
2023-01-09;31;8;0;1;0;False
2023-01-10;68;8;0;1;1;False
2023-01-11;41;7;0;1;1;False
2023-01-12;35;7;0;1;0;False
2023-01-13;32;12;0;1;0;False
2023-01-14;37;11;0;2;0;False
2023-01-15;71;9;0;1;0;False
2023-01-16;35;9;0;1;0;False
2023-01-17;32;9;0;1;0;False
2023-01-18;30;9;0;1;1;False
2023-01-19;32;9;0;0;0;False
2023-01-20;32;8;0;0;0;False
2023-01-21;65;7;0;0;0;False
2023-01-22;35;6;0;1;0;False
2023-01-23;33;8;0;1;0;False
2023-01-24;78;8;0;0;0;False
2023-01-25;42;10;0;1;0;False
2023-01-26;33;10;0;1;0;False
2023-01-27;34;10;0;1;0;False
2023-01-28;35;7;0;1;0;False
2023-01-29;37;6;0;1;0;False
2023-01-30;37;10;0;1;1;False
2023-01-31;100;8;0;0;1;False
