date;Roe v Wade;Aristocracy;Pork;England;air travel;isPartial
2023-01-01;0;0;27;55;1;False
2023-01-02;0;0;19;61;1;False
2023-01-03;0;0;16;62;1;False
2023-01-04;0;0;15;61;1;False
2023-01-05;0;0;15;57;1;False
2023-01-06;0;0;15;61;1;False
2023-01-07;0;0;19;53;1;False
2023-01-08;0;0;30;64;1;False
2023-01-09;0;0;15;66;1;False
2023-01-10;0;0;15;62;1;False
2023-01-11;0;0;14;65;1;False
2023-01-12;0;0;15;68;1;False
2023-01-13;0;0;16;55;1;False
2023-01-14;0;0;21;61;1;False
2023-01-15;0;0;31;68;1;False
2023-01-16;0;1;16;66;1;False
2023-01-17;0;0;15;72;1;False
2023-01-18;0;0;17;62;1;False
2023-01-19;0;0;15;58;1;False
2023-01-20;0;0;15;56;1;False
2023-01-21;0;0;22;54;1;False
2023-01-22;0;0;31;64;1;False
2023-01-23;0;0;17;73;1;False
2023-01-24;0;0;15;59;1;False
2023-01-25;0;0;14;56;1;False
2023-01-26;0;0;13;55;1;False
2023-01-27;0;0;13;77;1;False
2023-01-28;0;0;19;54;1;False
2023-01-29;0;0;29;100;1;False
2023-01-30;0;0;17;70;1;False
2023-01-31;0;0;17;65;1;False
