date;aung san suu kyi;Savills;The Tragedy of Macbeth;S4C;air travel;isPartial
2023-01-01;0;8;2;15;14;False
2023-01-02;0;14;1;7;17;False
2023-01-03;1;20;3;7;11;False
2023-01-04;0;26;0;5;16;False
2023-01-05;1;26;1;10;13;False
2023-01-06;2;22;0;12;13;False
2023-01-07;1;16;0;100;10;False
2023-01-08;1;15;0;9;16;False
2023-01-09;1;28;0;3;9;False
2023-01-10;1;28;0;6;15;False
2023-01-11;2;26;0;4;16;False
2023-01-12;1;37;0;6;14;False
2023-01-13;2;22;0;11;11;False
2023-01-14;0;11;2;9;10;False
2023-01-15;0;19;3;5;12;False
2023-01-16;1;28;0;4;13;False
2023-01-17;0;37;0;8;10;False
2023-01-18;0;26;0;5;15;False
2023-01-19;0;27;1;5;13;False
2023-01-20;2;29;2;14;11;False
2023-01-21;1;17;0;13;12;False
2023-01-22;0;17;0;7;13;False
2023-01-23;0;29;0;5;13;False
2023-01-24;0;30;0;3;10;False
2023-01-25;2;31;3;3;14;False
2023-01-26;1;28;1;0;12;False
2023-01-27;0;27;0;6;9;False
2023-01-28;0;19;2;11;12;False
2023-01-29;0;17;0;7;11;False
2023-01-30;0;30;0;4;18;False
2023-01-31;0;31;0;7;15;False
