date;Brentford;David Attenborough;Culture;georgia, us;air travel;isPartial
2023-01-01;6;2;3;0;1;False
2023-01-02;100;2;4;0;1;False
2023-01-03;12;1;5;0;1;False
2023-01-04;5;1;5;0;1;False
2023-01-05;4;1;6;0;1;False
2023-01-06;7;1;5;0;1;False
2023-01-07;23;1;5;0;1;False
2023-01-08;5;1;5;0;1;False
2023-01-09;3;1;6;0;0;False
2023-01-10;3;1;6;0;1;False
2023-01-11;4;1;7;0;1;False
2023-01-12;4;1;6;0;1;False
2023-01-13;4;1;7;0;1;False
2023-01-14;20;1;5;0;1;False
2023-01-15;5;1;5;0;1;False
2023-01-16;3;1;7;0;1;False
2023-01-17;2;1;7;0;1;False
2023-01-18;3;1;6;0;1;False
2023-01-19;3;3;6;0;1;False
2023-01-20;4;2;6;0;1;False
2023-01-21;5;2;5;0;1;False
2023-01-22;21;2;5;0;1;False
2023-01-23;4;1;6;0;1;False
2023-01-24;3;1;6;0;1;False
2023-01-25;3;1;6;0;1;False
2023-01-26;3;2;6;0;1;False
2023-01-27;2;2;5;0;0;False
2023-01-28;3;1;4;0;1;False
2023-01-29;3;1;5;0;1;False
2023-01-30;3;1;6;0;1;False
2023-01-31;3;1;6;0;1;False
