date;Statins;Romance films;oxfordshire;alabama;air travel;isPartial
2023-01-01;8;2;30;13;7;False
2023-01-02;8;2;36;20;9;False
2023-01-03;8;2;36;9;6;False
2023-01-04;10;0;35;9;8;False
2023-01-05;12;1;30;10;7;False
2023-01-06;11;0;33;15;7;False
2023-01-07;7;1;25;11;5;False
2023-01-08;8;2;29;12;8;False
2023-01-09;10;1;36;10;5;False
2023-01-10;12;0;29;9;7;False
2023-01-11;10;1;30;11;8;False
2023-01-12;22;1;33;11;7;False
2023-01-13;100;1;29;12;6;False
2023-01-14;33;0;26;12;5;False
2023-01-15;16;1;23;14;6;False
2023-01-16;19;2;31;9;6;False
2023-01-17;16;1;26;12;5;False
2023-01-18;17;2;32;9;8;False
2023-01-19;14;0;27;11;7;False
2023-01-20;15;1;29;12;6;False
2023-01-21;12;2;28;13;6;False
2023-01-22;11;1;27;9;7;False
2023-01-23;12;1;27;8;7;False
2023-01-24;14;0;36;12;5;False
2023-01-25;12;0;27;10;7;False
2023-01-26;14;0;25;10;6;False
2023-01-27;12;1;25;10;4;False
2023-01-28;8;1;25;12;6;False
2023-01-29;8;1;24;11;6;False
2023-01-30;17;2;28;11;9;False
2023-01-31;15;0;30;14;8;False
