date;Davos 2022;Fiji;True crime books;Iggy Pop;air travel;isPartial
2023-01-01;0;99;0;32;54;False
2023-01-02;4;65;0;20;64;False
2023-01-03;5;75;4;16;42;False
2023-01-04;0;89;9;13;63;False
2023-01-05;0;74;7;29;52;False
2023-01-06;0;67;0;49;52;False
2023-01-07;0;62;7;52;38;False
2023-01-08;4;60;4;44;60;False
2023-01-09;0;63;0;23;35;False
2023-01-10;0;63;3;16;56;False
2023-01-11;0;83;0;19;64;False
2023-01-12;6;62;0;23;53;False
2023-01-13;3;63;0;29;43;False
2023-01-14;0;54;3;25;40;False
2023-01-15;5;89;4;23;47;False
2023-01-16;0;71;0;24;49;False
2023-01-17;6;57;0;24;40;False
2023-01-18;0;74;0;10;57;False
2023-01-19;0;68;0;17;52;False
2023-01-20;0;67;0;24;42;False
2023-01-21;5;78;0;29;45;False
2023-01-22;0;80;0;10;50;False
2023-01-23;0;60;0;10;51;False
2023-01-24;0;64;0;16;39;False
2023-01-25;0;67;0;19;53;False
2023-01-26;0;68;6;16;48;False
2023-01-27;0;65;0;17;33;False
2023-01-28;5;57;0;17;47;False
2023-01-29;5;80;0;25;43;False
2023-01-30;0;100;0;11;71;False
2023-01-31;0;75;6;21;60;False
