date;Milton Keynes;Sizewell C;Ian Dury;Ursula K Le Guin;air travel;isPartial
2023-01-01;98;0;1;0;5;False
2023-01-02;100;1;0;0;6;False
2023-01-03;92;0;0;0;4;False
2023-01-04;95;1;0;0;6;False
2023-01-05;89;0;1;0;5;False
2023-01-06;95;0;6;0;5;False
2023-01-07;90;0;2;0;3;False
2023-01-08;82;0;1;0;5;False
2023-01-09;88;0;0;0;3;False
2023-01-10;85;0;1;0;5;False
2023-01-11;82;0;1;0;6;False
2023-01-12;91;0;0;0;5;False
2023-01-13;87;0;0;0;4;False
2023-01-14;95;0;0;0;4;False
2023-01-15;87;1;1;0;4;False
2023-01-16;83;1;0;0;4;False
2023-01-17;84;1;0;0;4;False
2023-01-18;86;1;0;0;5;False
2023-01-19;88;0;1;0;5;False
2023-01-20;90;0;0;0;4;False
2023-01-21;97;0;1;1;4;False
2023-01-22;89;0;0;0;5;False
2023-01-23;86;0;0;0;5;False
2023-01-24;88;1;0;0;4;False
2023-01-25;86;0;0;0;5;False
2023-01-26;80;1;0;0;4;False
2023-01-27;87;0;1;0;3;False
2023-01-28;93;0;1;0;4;False
2023-01-29;86;0;2;0;4;False
2023-01-30;88;0;0;0;6;False
2023-01-31;96;1;0;0;5;False
