date;Patricia Arquette;Julia Louis-Dreyfus;Steel industry;Cruises;air travel;isPartial
2023-01-01;0;1;1;82;3;False
2023-01-02;1;0;0;86;4;False
2023-01-03;0;0;0;76;3;False
2023-01-04;1;0;0;71;4;False
2023-01-05;0;0;0;75;3;False
2023-01-06;0;0;1;76;3;False
2023-01-07;0;0;0;80;2;False
2023-01-08;0;0;0;100;4;False
2023-01-09;1;0;0;71;2;False
2023-01-10;0;0;0;72;4;False
2023-01-11;0;0;1;72;4;False
2023-01-12;0;0;0;69;3;False
2023-01-13;1;1;1;74;3;False
2023-01-14;0;1;0;80;3;False
2023-01-15;0;0;0;92;3;False
2023-01-16;0;0;0;67;3;False
2023-01-17;0;0;0;62;3;False
2023-01-18;1;0;1;64;4;False
2023-01-19;0;0;0;62;3;False
2023-01-20;1;0;1;71;3;False
2023-01-21;0;0;1;87;3;False
2023-01-22;0;0;0;88;3;False
2023-01-23;1;1;0;72;3;False
2023-01-24;0;0;0;69;3;False
2023-01-25;0;1;0;65;3;False
2023-01-26;0;0;0;57;3;False
2023-01-27;0;0;0;69;2;False
2023-01-28;0;1;1;77;3;False
2023-01-29;0;1;0;88;3;False
2023-01-30;0;0;0;71;5;False
2023-01-31;0;1;0;66;4;False
