date;Yoga;Wimbledon 2022;Jofra Archer;Magic;air travel;isPartial
2023-01-01;72;1;1;90;4;False
2023-01-02;84;1;1;91;4;False
2023-01-03;77;0;2;78;3;False
2023-01-04;72;0;1;83;4;False
2023-01-05;62;0;0;80;3;False
2023-01-06;62;0;0;83;3;False
2023-01-07;63;1;0;84;2;False
2023-01-08;75;1;0;97;4;False
2023-01-09;70;0;0;78;2;False
2023-01-10;65;0;2;82;4;False
2023-01-11;62;1;1;80;4;False
2023-01-12;64;0;0;90;3;False
2023-01-13;55;1;0;85;3;False
2023-01-14;60;1;1;87;3;False
2023-01-15;68;2;1;93;3;False
2023-01-16;68;1;1;82;3;False
2023-01-17;59;2;0;77;3;False
2023-01-18;59;2;1;78;4;False
2023-01-19;61;1;0;80;3;False
2023-01-20;60;1;1;87;3;False
2023-01-21;57;1;0;95;3;False
2023-01-22;69;1;0;90;3;False
2023-01-23;68;1;1;87;3;False
2023-01-24;60;1;1;92;3;False
2023-01-25;61;1;1;85;3;False
2023-01-26;55;1;2;88;3;False
2023-01-27;56;1;2;92;2;False
2023-01-28;53;2;0;91;3;False
2023-01-29;64;1;0;100;3;False
2023-01-30;66;0;0;86;5;False
2023-01-31;65;0;0;88;4;False
