date;Jeremy Hunt;Monetary policy committee;meta;Augsburg;air travel;isPartial
2023-01-01;4;0;100;0;12;False
2023-01-02;1;0;89;2;14;False
2023-01-03;0;3;89;2;9;False
2023-01-04;3;0;96;2;14;False
2023-01-05;1;0;95;0;11;False
2023-01-06;3;1;93;3;11;False
2023-01-07;0;0;80;3;8;False
2023-01-08;3;3;73;1;13;False
2023-01-09;3;0;76;2;8;False
2023-01-10;4;0;79;3;12;False
2023-01-11;2;0;86;0;14;False
2023-01-12;0;2;92;1;11;False
2023-01-13;3;0;90;2;9;False
2023-01-14;3;0;79;2;9;False
2023-01-15;2;0;76;0;10;False
2023-01-16;2;0;87;1;10;False
2023-01-17;5;1;82;0;9;False
2023-01-18;11;0;81;1;12;False
2023-01-19;11;0;82;2;11;False
2023-01-20;6;0;87;1;9;False
2023-01-21;3;0;77;2;10;False
2023-01-22;2;4;76;30;11;False
2023-01-23;7;0;84;3;11;False
2023-01-24;1;0;86;2;8;False
2023-01-25;2;0;82;15;12;False
2023-01-26;6;0;83;2;10;False
2023-01-27;38;0;85;3;7;False
2023-01-28;37;1;68;3;10;False
2023-01-29;8;0;77;1;9;False
2023-01-30;6;0;91;4;15;False
2023-01-31;7;0;92;0;13;False
