date;National party;Corporate social responsibility;michael jackson;University of Essex;air travel;isPartial
2023-01-01;0;1;29;0;6;False
2023-01-02;1;1;19;3;7;False
2023-01-03;2;1;13;3;4;False
2023-01-04;2;1;18;2;7;False
2023-01-05;2;2;13;2;5;False
2023-01-06;1;2;22;2;6;False
2023-01-07;0;0;21;1;4;False
2023-01-08;2;0;16;3;6;False
2023-01-09;2;1;12;2;4;False
2023-01-10;2;1;14;4;6;False
2023-01-11;1;1;15;2;7;False
2023-01-12;1;2;14;4;6;False
2023-01-13;2;2;100;3;5;False
2023-01-14;1;0;44;2;4;False
2023-01-15;1;0;29;3;5;False
2023-01-16;1;2;20;6;5;False
2023-01-17;1;2;18;5;4;False
2023-01-18;1;1;18;4;6;False
2023-01-19;1;1;18;3;5;False
2023-01-20;0;0;21;2;4;False
2023-01-21;0;0;29;3;5;False
2023-01-22;2;1;24;4;5;False
2023-01-23;1;2;17;4;5;False
2023-01-24;2;1;21;1;4;False
2023-01-25;1;2;15;3;6;False
2023-01-26;1;1;18;3;5;False
2023-01-27;1;1;19;4;4;False
2023-01-28;1;1;24;1;5;False
2023-01-29;1;0;22;2;5;False
2023-01-30;0;1;19;4;8;False
2023-01-31;1;1;27;4;6;False
